196,2,4,14,3,36,413
1412,293,190,150,448,287,5681
140,3,8,5,0,17,259
1409,246,207,233,626,246,5250
338,13,29,11,22,40,911
121,0,4,5,4,18,251
501,40,28,36,44,129,1284
617,124,72,52,199,87,2148
61,8,4,2,20,8,177
613,40,31,31,37,112,1393
185,6,4,2,2,12,359
20,0,0,0,1,2,25
128,19,16,3,29,29,413
137,9,11,6,2,31,323
427,26,65,20,17,83,1051
4758,780,687,493,909,803,15307
440,112,70,59,78,95,1424
1359,480,434,442,918,232,6354
81,0,11,2,6,15,193
155,7,5,4,3,4,290
31,5,0,6,1,5,65
4886,914,748,513,1147,744,18307
133,3,13,5,8,15,267
98,1,1,2,1,15,211
434,27,31,10,20,16,959
196,23,13,9,11,26,519
4120,1580,774,800,1664,687,18417
116,7,6,2,4,11,209
198,15,8,11,29,26,513
138,8,1,6,16,37,320
179,4,6,4,18,40,398
227,28,12,23,38,31,849
6471,1730,1173,1449,2868,1583,28163
4064,1963,913,1224,2488,1210,21685
89,0,7,5,8,9,177
273,13,14,24,43,45,718
298,26,15,16,31,80,826
2678,885,370,528,1161,394,10733
60,3,1,4,2,15,125
150,137,85,67,196,52,1418
1442,239,125,95,105,239,3795
824,331,213,236,531,174,4345
150,18,6,9,8,19,283
334,13,25,25,38,49,872
260,18,30,38,53,38,706
873,327,193,246,671,214,4479
165,4,9,8,9,22,303
82,10,29,10,16,7,232
992,55,36,31,33,143,1975
186,22,15,4,27,25,514
